t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
0.5420,joint,0.002241,0.000000,0.000000,0.000000,0.000000,0.000000,1.999995,0.004483,0.000000,1.999995,0.004483,0.000000
0.5507,joint,0.002348,0.000000,0.000000,0.000000,0.000000,0.000000,1.999994,0.004695,0.000000,1.999994,0.004695,0.000000
0.5619,joint,0.002488,0.000000,0.000000,0.000000,0.000000,0.000000,1.999994,0.004975,0.000000,1.999994,0.004975,0.000000
0.5707,joint,0.002602,0.000000,0.000000,0.000000,0.000000,0.000000,1.999993,0.005205,0.000000,1.999993,0.005205,0.000000
0.5817,joint,0.002750,0.000000,0.000000,0.000000,0.000000,0.000000,1.999992,0.005501,0.000000,1.999992,0.005501,0.000000
0.5910,joint,0.002879,0.000000,0.000000,0.000000,0.000000,0.000000,1.999992,0.005758,0.000000,1.999992,0.005758,0.000000
0.6017,joint,0.003032,0.000000,0.000000,0.000000,0.000000,0.000000,1.999991,0.006064,0.000000,1.999991,0.006064,0.000000
0.6107,joint,0.003164,0.000000,0.000000,0.000000,0.000000,0.000000,1.999990,0.006327,0.000000,1.999990,0.006327,0.000000
0.6208,joint,0.003317,0.000000,0.000000,0.000000,0.000000,0.000000,1.999989,0.006634,0.000000,1.999989,0.006634,0.000000
0.6316,joint,0.003486,0.000000,0.000000,0.000000,0.000000,0.000000,1.999988,0.006972,0.000000,1.999988,0.006972,0.000000
0.6413,joint,0.003641,0.000000,0.000000,0.000000,0.000000,0.000000,1.999987,0.007283,0.000000,1.999987,0.007283,0.000000
0.6508,joint,0.003799,0.000000,0.000000,0.000000,0.000000,0.000000,1.999986,0.007598,0.000000,1.999986,0.007598,0.000000
0.6604,joint,0.003961,0.000000,0.000000,0.000000,0.000000,0.000000,1.999984,0.007923,0.000000,1.999984,0.007923,0.000000
0.6711,joint,0.004149,0.000000,0.000000,0.000000,0.000000,0.000000,1.999983,0.008298,0.000000,1.999983,0.008298,0.000000
0.6805,joint,0.004316,0.000000,0.000000,0.000000,0.000000,0.000000,1.999981,0.008633,0.000000,1.999981,0.008633,0.000000
0.6914,joint,0.004517,0.000000,0.000000,0.000000,0.000000,0.000000,1.999980,0.009035,0.000000,1.999980,0.009035,0.000000
0.7003,joint,0.004686,0.000000,0.000000,0.000000,0.000000,0.000000,1.999978,0.009373,0.000000,1.999978,0.009373,0.000000
0.7103,joint,0.004880,0.000000,0.000000,0.000000,0.000000,0.000000,1.999976,0.009761,0.000000,1.999976,0.009761,0.000000
0.7204,joint,0.005080,0.000000,0.000000,0.000000,0.000000,0.000000,1.999974,0.010160,0.000000,1.999974,0.010160,0.000000
0.7310,joint,0.005296,0.000000,0.000000,0.000000,0.000000,0.000000,1.999972,0.010593,0.000000,1.999972,0.010593,0.000000
0.7408,joint,0.005503,0.000000,0.000000,0.000000,0.000000,0.000000,1.999970,0.011006,0.000000,1.999970,0.011006,0.000000
0.7506,joint,0.005712,0.000000,0.000000,0.000000,0.000000,0.000000,1.999967,0.011424,0.000000,1.999967,0.011424,0.000000
0.7614,joint,0.005950,0.000000,0.000000,0.000000,0.000000,0.000000,1.999965,0.011900,0.000000,1.999965,0.011900,0.000000
0.7711,joint,0.006169,0.000000,0.000000,0.000000,0.000000,0.000000,1.999962,0.012337,0.000000,1.999962,0.012337,0.000000
0.7806,joint,0.006386,0.000000,0.000000,0.000000,0.000000,0.000000,1.999959,0.012771,0.000000,1.999959,0.012771,0.000000
0.7908,joint,0.006627,0.000000,0.000000,0.000000,0.000000,0.000000,1.999956,0.013254,0.000000,1.999956,0.013254,0.000000
0.8007,joint,0.006865,0.000000,0.000000,0.000000,0.000000,0.000000,1.999953,0.013730,0.000000,1.999953,0.013730,0.000000
0.8107,joint,0.007111,0.000000,0.000000,0.000000,0.000000,0.000000,1.999949,0.014222,0.000000,1.999949,0.014222,0.000000
0.8207,joint,0.007362,0.000000,0.000000,0.000000,0.000000,0.000000,1.999946,0.014725,0.000000,1.999946,0.014725,0.000000
0.8308,joint,0.007621,0.000000,0.000000,0.000000,0.000000,0.000000,1.999942,0.015242,0.000000,1.999942,0.015242,0.000000
0.8425,joint,0.007930,0.000000,0.000000,0.000000,0.000000,0.000000,1.999937,0.015860,0.000000,1.999937,0.015860,0.000000
0.8510,joint,0.008158,0.000000,0.000000,0.000000,0.000000,0.000000,1.999933,0.016317,0.000000,1.999933,0.016317,0.000000
